,Country,Currency,Technology,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,Australia,National currency (nominal),Energy efficiency,..,..,..,..,..,0,5.4,7.01,..,12.93,..,8.84,..,5.36,..,6.56,..,..,..,6.65,..,13.91,..,10.148,..,9.43,..,13.68,..,13.47,48.625,32.009,30.455,34.523,43.848,39.35,131.82,99.561,71.742,71.738,29.749,29.451,21.467,28.108,32.881,46.263,30.62,46.658,58.852,21.792
1,Australia,National currency (nominal),Fossil fuels,..,..,..,..,..,13.41,20.75,26.29,..,44.72,..,34.59,..,33.49,..,43.83,..,..,..,67.55,..,60.26,..,113.612,..,89.14,..,94.58,..,82.67,54.152,53.492,65.184,71.92,72.205,300.273,223.83,263.692,395.598,326.75,155.952,64.41,42.331,67.878,71.2,68.4,49.117,46.41,138.832,75.171
2,Australia,National currency (nominal),Renewables,..,..,..,..,..,6.43,9.96,13.58,..,13.05,..,9.46,..,1.04,..,5.57,..,..,..,10.93,..,5.35,..,8.188,..,13.46,..,15.47,..,16.09,38.899,28.965,39,49.221,46.08,88.603,98.095,198.89,257.375,518.134,94.493,151.449,56.188,68.475,66.505,75.744,41.276,62.038,82.547,78.583
3,Australia,National currency (nominal),Nuclear,..,..,..,..,..,0,0,0,..,15.09,..,10.66,..,21.04,..,22.3,..,..,..,1.15,..,7.82,..,1.186,..,3.59,..,4.25,..,1.34,30.716,21.838,17.691,15.758,26.13,2.9,2.98,6.13,11.6,8.9,7.89,9.118,17.551,10.016,8.786,9.789,10.246,15.395,18.026,18.9
4,Australia,National currency (nominal),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,0,0.201,0.66,0.334,1.229,2.425,2.526,0.226,1.856,4.081,4.149,3.883,5.877,32.263,49.781,46.045,81.731,154.66,151.633
5,Australia,National currency (nominal),Other power and storage technologies,..,..,..,..,..,0,1.94,2.37,..,5,..,3.9,..,1.07,..,11.52,..,..,..,8.24,..,6.75,..,6.487,..,11.84,..,8.24,..,6.24,9.646,11.941,13.287,13.879,14.366,17.118,13.77,11.985,19,24.067,10.742,16.794,18.685,16.962,20.347,39.465,21.523,60.712,65.642,36.078
6,Australia,National currency (nominal),Other cross-cutting technologies/research,..,..,..,..,..,0,3.64,5.35,..,5.79,..,0.25,..,0.41,..,1.96,..,..,..,15.84,..,22.19,..,18.008,..,9.06,..,19.29,..,31.92,131.447,84.894,100.745,122.592,131.14,10.351,11.827,8.38,15.117,9.382,0.22,2.196,2.57,2.57,2.382,18.673,35.529,52.613,71.037,50.26
7,Australia,National currency (nominal),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,7.751,2.606,7.056,3.436,2.653,0,0,0,0,0
8,Australia,National currency (nominal),Total Budget,..,..,..,..,..,19.84,41.69,54.6,..,96.57,..,67.7,..,62.4,..,91.74,..,..,..,110.36,..,116.28,..,157.629,..,136.52,..,155.51,..,151.73,313.786,233.139,266.562,308.552,334.101,459.824,484.747,591.164,770.658,960.827,310.878,280.173,169.731,203.322,237.017,308.114,234.358,365.557,589.597,432.417
9,Australia,National currency (2022 prices),Energy efficiency,..,..,..,..,..,0,26.19,30.876,..,46.749,..,28.649,..,15.277,..,15.939,..,..,..,14.822,..,29.761,..,21.079,..,19.215,..,25.788,..,23.959,83.593,52.596,47.615,51.698,61.72,55.152,175.407,126.545,91.663,90.49,37.411,37.308,26.938,34.041,38.949,53.12,34.892,50.331,58.852,22.011
10,Australia,National currency (2022 prices),Fossil fuels,..,..,..,..,..,71.552,100.637,115.798,..,161.686,..,112.102,..,95.453,..,106.494,..,..,..,150.565,..,128.93,..,235.987,..,181.634,..,178.291,..,147.042,93.094,87.896,101.913,107.7,101.635,420.859,297.841,335.161,505.447,412.163,196.119,81.594,53.119,82.205,84.34,78.539,55.969,50.065,138.832,75.928
11,Australia,National currency (2022 prices),Renewables,..,..,..,..,..,34.309,48.306,59.815,..,47.182,..,30.659,..,2.964,..,13.533,..,..,..,24.362,..,11.447,..,17.008,..,27.426,..,29.162,..,28.619,66.872,47.594,60.975,73.708,64.862,124.185,130.531,252.796,328.842,653.575,118.831,191.854,70.507,82.928,78.778,86.97,47.034,66.922,82.547,79.374
12,Australia,National currency (2022 prices),Nuclear,..,..,..,..,..,0,0,0,..,54.558,..,34.548,..,59.968,..,54.182,..,..,..,2.563,..,16.731,..,2.463,..,7.315,..,8.012,..,2.383,52.805,35.884,27.659,23.598,36.78,4.065,3.965,7.791,14.821,11.226,9.922,11.551,22.024,12.13,10.407,11.24,11.676,16.607,18.026,19.09
13,Australia,National currency (2022 prices),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.516,0,0.314,0.988,0.47,1.723,3.227,3.211,0.289,2.341,5.132,5.256,4.873,7.117,38.217,57.159,52.469,88.166,154.66,153.16
14,Australia,National currency (2022 prices),Other power and storage technologies,..,..,..,..,..,0,9.409,10.439,..,18.078,..,12.639,..,3.05,..,27.99,..,..,..,18.366,..,14.442,..,13.474,..,24.125,..,15.533,..,11.099,16.583,19.621,20.774,20.784,20.221,23.992,18.323,15.233,24.276,30.358,13.509,21.274,23.447,20.542,24.102,45.315,24.526,65.492,65.642,36.441
15,Australia,National currency (2022 prices),Other cross-cutting technologies/research,..,..,..,..,..,0,17.654,23.565,..,20.934,..,0.81,..,1.169,..,4.762,..,..,..,35.306,..,47.477,..,37.405,..,18.461,..,36.363,..,56.775,225.974,139.495,157.511,183.581,184.591,14.508,15.738,10.651,19.315,11.834,0.277,2.782,3.225,3.112,2.822,21.44,40.486,56.756,71.037,50.765
16,Australia,National currency (2022 prices),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,9.747,3.301,8.854,4.161,3.143,0,0,0,0,0
17,Australia,National currency (2022 prices),Total Budget,..,..,..,..,..,105.861,202.195,240.493,..,349.15,..,219.408,..,177.853,..,222.9,..,..,..,245.986,..,248.788,..,327.416,..,278.176,..,293.148,..,269.877,539.439,383.087,416.76,462.055,470.276,644.484,645.032,751.389,984.652,1211.988,390.949,354.92,212.985,246.236,280.758,353.783,267.051,394.339,589.597,436.769
18,Australia,USD (2022 prices and exchange rates),Energy efficiency,..,..,..,..,..,0,18.165,21.415,..,32.424,..,19.871,..,10.596,..,11.055,..,..,..,10.281,..,20.642,..,14.62,..,13.327,..,17.886,..,16.617,57.978,36.48,33.025,35.857,42.807,38.253,121.658,87.769,63.575,62.762,25.948,25.876,18.683,23.61,27.014,36.843,24.2,34.909,40.819,15.266
19,Australia,USD (2022 prices and exchange rates),Fossil fuels,..,..,..,..,..,49.627,69.799,80.315,..,112.141,..,77.752,..,66.204,..,73.862,..,..,..,104.428,..,89.423,..,163.675,..,125.977,..,123.658,..,101.985,64.568,60.963,70.684,74.698,70.492,291.898,206.576,232.46,350.566,285.867,136.024,56.592,36.842,57.015,58.496,54.473,38.819,34.724,96.291,52.662
20,Australia,USD (2022 prices and exchange rates),Renewables,..,..,..,..,..,23.796,33.504,41.486,..,32.725,..,21.264,..,2.056,..,9.386,..,..,..,16.897,..,7.939,..,11.796,..,19.022,..,20.226,..,19.849,46.381,33.01,42.291,51.122,44.986,86.132,90.533,175.333,228.078,453.305,82.418,133.066,48.902,57.517,54.639,60.321,32.622,46.416,57.253,55.052
21,Australia,USD (2022 prices and exchange rates),Nuclear,..,..,..,..,..,0,0,0,..,37.84,..,23.962,..,41.593,..,37.58,..,..,..,1.778,..,11.604,..,1.709,..,5.074,..,5.557,..,1.653,36.624,24.888,19.184,16.367,25.51,2.819,2.75,5.404,10.28,7.786,6.882,8.011,15.275,8.413,7.218,7.796,8.098,11.518,12.502,13.241
22,Australia,USD (2022 prices and exchange rates),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.358,0,0.218,0.685,0.326,1.195,2.238,2.227,0.2,1.624,3.56,3.645,3.379,4.936,26.507,39.644,36.391,61.15,107.269,106.228
23,Australia,USD (2022 prices and exchange rates),Other power and storage technologies,..,..,..,..,..,0,6.526,7.24,..,12.538,..,8.766,..,2.115,..,19.413,..,..,..,12.739,..,10.017,..,9.346,..,16.733,..,10.773,..,7.698,11.501,13.609,14.408,14.415,14.025,16.641,12.709,10.565,16.837,21.056,9.369,14.755,16.262,14.248,16.717,31.429,17.011,45.424,45.528,25.275
24,Australia,USD (2022 prices and exchange rates),Other cross-cutting technologies/research,..,..,..,..,..,0,12.244,16.344,..,14.519,..,0.562,..,0.811,..,3.303,..,..,..,24.488,..,32.929,..,25.943,..,12.804,..,25.221,..,39.378,156.731,96.751,109.246,127.328,128.028,10.062,10.915,7.387,13.396,8.208,0.192,1.929,2.237,2.159,1.957,14.87,28.08,39.364,49.27,35.21
25,Australia,USD (2022 prices and exchange rates),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,6.761,2.29,6.141,2.886,2.18,0,0,0,0,0
26,Australia,USD (2022 prices and exchange rates),Total Budget,..,..,..,..,..,73.423,140.238,166.801,..,242.162,..,152.177,..,123.355,..,154.599,..,..,..,170.61,..,172.554,..,227.088,..,192.937,..,203.321,..,187.18,374.143,265.701,289.055,320.471,326.173,446.999,447.38,521.146,682.933,840.607,271.153,246.165,147.722,170.784,194.728,245.376,185.221,273.505,408.931,302.933
27,Australia,USD (2022 prices and PPP),Energy efficiency,..,..,..,..,..,0,17.425,20.543,..,31.103,..,19.062,..,10.164,..,10.605,..,..,..,9.862,..,19.801,..,14.024,..,12.784,..,17.158,..,15.941,55.617,34.994,31.68,34.397,41.064,36.695,116.705,84.195,60.987,60.206,24.891,24.823,17.923,22.648,25.914,35.343,23.215,33.487,39.157,14.645
28,Australia,USD (2022 prices and PPP),Fossil fuels,..,..,..,..,..,47.606,66.957,77.044,..,107.575,..,74.586,..,63.509,..,70.854,..,..,..,100.176,..,85.782,..,157.011,..,120.847,..,118.623,..,97.832,61.939,58.481,67.806,71.657,67.621,280.013,198.164,222.995,336.292,274.227,130.485,54.287,35.342,54.694,56.115,52.255,37.238,33.31,92.37,50.517
29,Australia,USD (2022 prices and PPP),Renewables,..,..,..,..,..,22.827,32.139,39.797,..,31.392,..,20.398,..,1.972,..,9.004,..,..,..,16.209,..,7.616,..,11.316,..,18.248,..,19.403,..,19.041,44.493,31.666,40.569,49.041,43.155,82.625,86.847,168.194,218.791,434.847,79.062,127.647,46.911,55.175,52.414,57.865,31.293,44.526,54.922,52.81
30,Australia,USD (2022 prices and PPP),Nuclear,..,..,..,..,..,0,0,0,..,36.299,..,22.986,..,39.899,..,36.049,..,..,..,1.705,..,11.132,..,1.639,..,4.867,..,5.33,..,1.586,35.133,23.875,18.403,15.7,24.471,2.704,2.638,5.184,9.861,7.469,6.602,7.685,14.653,8.071,6.924,7.478,7.768,11.049,11.993,12.701
31,Australia,USD (2022 prices and PPP),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.343,0,0.209,0.658,0.313,1.146,2.147,2.136,0.192,1.558,3.415,3.497,3.242,4.735,25.427,38.03,34.909,58.66,102.901,101.903
32,Australia,USD (2022 prices and PPP),Other power and storage technologies,..,..,..,..,..,0,6.26,6.945,..,12.028,..,8.409,..,2.029,..,18.623,..,..,..,12.22,..,9.609,..,8.965,..,16.052,..,10.335,..,7.384,11.033,13.055,13.822,13.828,13.454,15.963,12.191,10.135,16.152,20.198,8.988,14.155,15.6,13.667,16.036,30.15,16.318,43.574,43.674,24.246
33,Australia,USD (2022 prices and PPP),Other cross-cutting technologies/research,..,..,..,..,..,0,11.746,15.679,..,13.928,..,0.539,..,0.778,..,3.168,..,..,..,23.491,..,31.588,..,24.887,..,12.283,..,24.194,..,37.774,150.349,92.811,104.798,122.143,122.815,9.653,10.471,7.087,12.851,7.874,0.184,1.851,2.146,2.071,1.877,14.265,26.936,37.762,47.264,33.776
34,Australia,USD (2022 prices and PPP),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,6.485,2.196,5.891,2.769,2.091,0,0,0,0,0
35,Australia,USD (2022 prices and PPP),Total Budget,..,..,..,..,..,70.433,134.527,160.009,..,232.302,..,145.98,..,118.332,..,148.304,..,..,..,163.663,..,165.528,..,217.842,..,185.081,..,195.042,..,179.559,358.908,254.882,277.285,307.422,312.891,428.798,429.163,499.926,655.125,806.379,260.112,236.141,141.707,163.83,186.799,235.385,177.679,262.368,392.28,290.598
36,Australia,Euro (2022 prices and exchange rates),Energy efficiency,..,..,..,..,..,0,17.272,20.363,..,30.831,..,18.895,..,10.075,..,10.512,..,..,..,9.776,..,19.628,..,13.902,..,12.672,..,17.007,..,15.801,55.13,34.688,31.403,34.095,40.705,36.374,115.683,83.458,60.453,59.679,24.673,24.605,17.766,22.45,25.687,35.033,23.012,33.194,38.814,14.516
37,Australia,Euro (2022 prices and exchange rates),Fossil fuels,..,..,..,..,..,47.189,66.371,76.37,..,106.633,..,73.933,..,62.952,..,70.233,..,..,..,99.299,..,85.03,..,155.635,..,119.789,..,117.584,..,96.976,61.397,57.969,67.212,71.029,67.029,277.56,196.429,221.042,333.347,271.825,129.343,53.812,35.032,54.215,55.623,51.797,36.912,33.018,91.561,50.075
38,Australia,Euro (2022 prices and exchange rates),Renewables,..,..,..,..,..,22.627,31.858,39.448,..,31.117,..,20.22,..,1.955,..,8.925,..,..,..,16.067,..,7.549,..,11.217,..,18.088,..,19.233,..,18.874,44.103,31.389,40.214,48.611,42.777,81.901,86.086,166.721,216.874,431.038,78.37,126.529,46.5,54.691,51.955,57.358,31.019,44.136,54.441,52.348
39,Australia,Euro (2022 prices and exchange rates),Nuclear,..,..,..,..,..,0,0,0,..,35.982,..,22.785,..,39.55,..,35.734,..,..,..,1.691,..,11.034,..,1.625,..,4.824,..,5.284,..,1.572,34.825,23.666,18.241,15.563,24.257,2.681,2.615,5.139,9.775,7.404,6.544,7.618,14.525,8,6.864,7.413,7.7,10.953,11.888,12.59
40,Australia,Euro (2022 prices and exchange rates),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,0,0.207,0.652,0.31,1.136,2.128,2.117,0.19,1.544,3.385,3.466,3.213,4.694,25.205,37.697,34.604,58.146,102,101.01
41,Australia,Euro (2022 prices and exchange rates),Other power and storage technologies,..,..,..,..,..,0,6.205,6.885,..,11.922,..,8.336,..,2.011,..,18.46,..,..,..,12.113,..,9.525,..,8.886,..,15.911,..,10.244,..,7.32,10.936,12.94,13.7,13.707,13.336,15.823,12.084,10.047,16.01,20.021,8.909,14.031,15.463,13.548,15.896,29.886,16.175,43.193,43.292,24.033
42,Australia,Euro (2022 prices and exchange rates),Other cross-cutting technologies/research,..,..,..,..,..,0,11.643,15.541,..,13.806,..,0.534,..,0.771,..,3.141,..,..,..,23.285,..,31.311,..,24.669,..,12.175,..,23.982,..,37.444,149.032,91.998,103.88,121.073,121.739,9.568,10.379,7.025,12.738,7.805,0.182,1.835,2.127,2.053,1.861,14.14,26.701,37.431,46.85,33.48
43,Australia,Euro (2022 prices and exchange rates),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,6.428,2.177,5.839,2.744,2.073,0,0,0,0,0
